DateCode,FeatureName,Energy Type,Value
2005,Stirling,Coal,6.725
2005,Stirling,Electricity,920.946
2005,Stirling,Gas,1548.313
2005,Stirling,Manufactured Fuels,6.877
2005,Stirling,Petroleum Products,1242.153
2005,West Dunbartonshire,Bioenergy & Wastes,2.081
2005,West Dunbartonshire,Coal,0.37
2005,West Dunbartonshire,Electricity,693.985
2005,West Dunbartonshire,Gas,989.818
2005,West Dunbartonshire,Manufactured Fuels,0.848
2005,West Dunbartonshire,Petroleum Products,602.768
2005,West Lothian,Bioenergy & Wastes,11.759
2005,West Lothian,Coal,3.0599999999999996
2005,West Lothian,Electricity,1573.3410000000001
2005,West Lothian,Gas,2120.254
2005,West Lothian,Manufactured Fuels,7.116
2005,West Lothian,Petroleum Products,1666.522
2006,Aberdeen City,Bioenergy & Wastes,23.979
2006,Aberdeen City,Coal,28.117000000000004
2006,Aberdeen City,Electricity,2207.199
2006,Aberdeen City,Gas,2701.115
2006,Aberdeen City,Manufactured Fuels,14.061
2006,Aberdeen City,Petroleum Products,1713.538
2006,Aberdeenshire,Bioenergy & Wastes,51.451
2006,Aberdeenshire,Coal,51.189
2006,Aberdeenshire,Electricity,2042.913
2006,Aberdeenshire,Gas,1574.272
2006,Aberdeenshire,Manufactured Fuels,32.325
2006,Aberdeenshire,Petroleum Products,4016.6360000000004
2006,Angus,Bioenergy & Wastes,19.061
2006,Angus,Coal,11.852
2006,Angus,Electricity,944.578
2006,Angus,Gas,1008.96
2006,Angus,Manufactured Fuels,6.576
2006,Angus,Petroleum Products,1334.729
2006,Argyll and Bute,Bioenergy & Wastes,23.924999999999997
2006,Argyll and Bute,Coal,26.388
2006,Argyll and Bute,Electricity,793.457
2006,Argyll and Bute,Gas,573.301
2006,Argyll and Bute,Manufactured Fuels,8.359
2006,Argyll and Bute,Petroleum Products,1262.3970000000002
2006,City of Edinburgh,Bioenergy & Wastes,28.083
2006,City of Edinburgh,Coal,13.960999999999999
2006,City of Edinburgh,Electricity,4579.3009999999995
2006,City of Edinburgh,Gas,5498.64
2006,City of Edinburgh,Manufactured Fuels,4.8950000000000005
2006,City of Edinburgh,Petroleum Products,3305.999
2006,Clackmannanshire,Bioenergy & Wastes,5.3999999999999995
2006,Clackmannanshire,Coal,1.402
2006,Clackmannanshire,Electricity,566.917
2006,Clackmannanshire,Gas,851.851
2006,Clackmannanshire,Manufactured Fuels,4.355
2006,Clackmannanshire,Petroleum Products,334.311
2006,Dumfries and Galloway,Bioenergy & Wastes,89.377
2006,Dumfries and Galloway,Coal,43.191
2006,Dumfries and Galloway,Electricity,1400.717
2006,Dumfries and Galloway,Gas,1293.1870000000001
2006,Dumfries and Galloway,Manufactured Fuels,40.327
2006,Dumfries and Galloway,Petroleum Products,3069.185
2006,Dundee City,Bioenergy & Wastes,6.019
2006,Dundee City,Coal,0.185
2006,Dundee City,Electricity,1394.321
2006,Dundee City,Gas,1651.2849999999999
2006,Dundee City,Manufactured Fuels,0.921
2006,Dundee City,Petroleum Products,1046.267
2006,East Ayrshire,Bioenergy & Wastes,203.20399999999998
2006,East Ayrshire,Coal,37.757999999999996
2006,East Ayrshire,Electricity,803.633
2006,East Ayrshire,Gas,1399.298
2006,East Ayrshire,Manufactured Fuels,7.431
2006,East Ayrshire,Petroleum Products,1165.541
2006,East Dunbartonshire,Bioenergy & Wastes,6.825
2006,East Dunbartonshire,Coal,1.3359999999999999
2006,East Dunbartonshire,Electricity,647.919
2006,East Dunbartonshire,Gas,1119.981
2006,East Dunbartonshire,Manufactured Fuels,2.5309999999999997
2006,East Dunbartonshire,Petroleum Products,567.241
2006,East Lothian,Bioenergy & Wastes,353.54600000000005
2006,East Lothian,Coal,338.41200000000003
2006,East Lothian,Electricity,800.133
2006,East Lothian,Gas,862.307
2006,East Lothian,Manufactured Fuels,202.134
2006,East Lothian,Petroleum Products,962.773
2006,East Renfrewshire,Bioenergy & Wastes,8.43
2006,East Renfrewshire,Coal,0.889
2006,East Renfrewshire,Electricity,402.66600000000005
2006,East Renfrewshire,Gas,943.2629999999999
2006,East Renfrewshire,Manufactured Fuels,2.544
2006,East Renfrewshire,Petroleum Products,670.8340000000001
2006,Falkirk,Bioenergy & Wastes,12.761
2006,Falkirk,Coal,3.263
2006,Falkirk,Electricity,1280.684
2006,Falkirk,Gas,2047.4270000000001
2006,Falkirk,Manufactured Fuels,578.932
2006,Falkirk,Petroleum Products,17531.633
2006,Fife,Bioenergy & Wastes,40.783
2006,Fife,Coal,788.1560000000001
2006,Fife,Electricity,3000.773
2006,Fife,Gas,6207.862
2006,Fife,Manufactured Fuels,31.889000000000003
2006,Fife,Petroleum Products,7822.987000000001
2006,Glasgow City,Bioenergy & Wastes,20.936
2006,Glasgow City,Coal,1.163
2006,Glasgow City,Electricity,5516.783
2006,Glasgow City,Gas,6555.191
2006,Glasgow City,Manufactured Fuels,4.165
2006,Glasgow City,Petroleum Products,3657.106
2006,Highland,Bioenergy & Wastes,239.714
2006,Highland,Coal,110.517
2006,Highland,Electricity,2801.085
2006,Highland,Gas,1268.577
2006,Highland,Manufactured Fuels,23.642
2006,Highland,Petroleum Products,3745.212
2006,Inverclyde,Bioenergy & Wastes,5.9510000000000005
2006,Inverclyde,Coal,0.654
2006,Inverclyde,Electricity,663.678
2006,Inverclyde,Gas,834.674
2006,Inverclyde,Manufactured Fuels,1.9409999999999998
2006,Inverclyde,Petroleum Products,528.743
2006,Midlothian,Bioenergy & Wastes,13.347
2006,Midlothian,Coal,10.892
2006,Midlothian,Electricity,558.729
2006,Midlothian,Gas,781.1049999999999
2006,Midlothian,Manufactured Fuels,3.846
2006,Midlothian,Petroleum Products,676.6300000000001
2006,Moray,Bioenergy & Wastes,16.945
2006,Moray,Coal,14.847999999999999
2006,Moray,Electricity,877.3679999999999
2006,Moray,Gas,1891.271
2006,Moray,Manufactured Fuels,7.4239999999999995
2006,Moray,Petroleum Products,1009.537
2006,Na h-Eileanan Siar,Bioenergy & Wastes,10.042
2006,Na h-Eileanan Siar,Coal,12.116
2006,Na h-Eileanan Siar,Electricity,218.156
2006,Na h-Eileanan Siar,Gas,0.0
2006,Na h-Eileanan Siar,Manufactured Fuels,3.6590000000000003
2006,Na h-Eileanan Siar,Petroleum Products,447.72
2006,North Ayrshire,Bioenergy & Wastes,91.398
2006,North Ayrshire,Coal,261.25399999999996
2006,North Ayrshire,Electricity,1502.387
2006,North Ayrshire,Gas,2823.554
2006,North Ayrshire,Manufactured Fuels,4.57
2006,North Ayrshire,Petroleum Products,913.4989999999999
2006,North Lanarkshire,Bioenergy & Wastes,81.845
2006,North Lanarkshire,Coal,3.997
2006,North Lanarkshire,Electricity,2722.6760000000004
2006,North Lanarkshire,Gas,3757.77
2006,North Lanarkshire,Manufactured Fuels,35.411
2006,North Lanarkshire,Petroleum Products,3077.006
2006,Orkney Islands,Bioenergy & Wastes,5.998
2006,Orkney Islands,Coal,9.911
2006,Orkney Islands,Electricity,203.63
2006,Orkney Islands,Gas,0.0
2006,Orkney Islands,Manufactured Fuels,2.9059999999999997
2006,Orkney Islands,Petroleum Products,378.142
2006,Perth and Kinross,Bioenergy & Wastes,28.873
2006,Perth and Kinross,Coal,14.649
2006,Perth and Kinross,Electricity,1276.125
2006,Perth and Kinross,Gas,1227.29
2006,Perth and Kinross,Manufactured Fuels,10.041
2006,Perth and Kinross,Petroleum Products,2718.8480000000004
2006,Renfrewshire,Bioenergy & Wastes,9.876
2006,Renfrewshire,Coal,1.037
2006,Renfrewshire,Electricity,1546.6039999999998
2006,Renfrewshire,Gas,2000.709
2006,Renfrewshire,Manufactured Fuels,2.04
2006,Renfrewshire,Petroleum Products,1405.2150000000001
2006,Scottish Borders,Bioenergy & Wastes,40.865
2006,Scottish Borders,Coal,43.096000000000004
2006,Scottish Borders,Electricity,950.531
2006,Scottish Borders,Gas,985.189
2006,Scottish Borders,Manufactured Fuels,8.855
2006,Scottish Borders,Petroleum Products,1649.2549999999999
2006,Shetland Islands,Bioenergy & Wastes,6.992000000000001
2006,Shetland Islands,Coal,10.363
2006,Shetland Islands,Electricity,308.45
2006,Shetland Islands,Gas,0.0
2006,Shetland Islands,Manufactured Fuels,3.174
2006,Shetland Islands,Petroleum Products,397.42400000000004
2006,South Ayrshire,Bioenergy & Wastes,14.181999999999999
2006,South Ayrshire,Coal,46.01
2006,South Ayrshire,Electricity,921.909
2006,South Ayrshire,Gas,1435.2
2006,South Ayrshire,Manufactured Fuels,7.87
2006,South Ayrshire,Petroleum Products,1204.149
2006,South Lanarkshire,Bioenergy & Wastes,34.327
2006,South Lanarkshire,Coal,15.315999999999999
2006,South Lanarkshire,Electricity,2509.416
2006,South Lanarkshire,Gas,3111.164
2006,South Lanarkshire,Manufactured Fuels,13.913
2006,South Lanarkshire,Petroleum Products,3109.9
2006,Stirling,Bioenergy & Wastes,143.61
2006,Stirling,Coal,6.352
2006,Stirling,Electricity,951.59
2006,Stirling,Gas,1468.659
2006,Stirling,Manufactured Fuels,6.566
2006,Stirling,Petroleum Products,1279.114
2006,West Dunbartonshire,Bioenergy & Wastes,3.7030000000000003
2006,West Dunbartonshire,Coal,0.333
2006,West Dunbartonshire,Electricity,743.9590000000001
2006,West Dunbartonshire,Gas,940.145
2006,West Dunbartonshire,Manufactured Fuels,0.7929999999999999
2006,West Dunbartonshire,Petroleum Products,611.6990000000001
2006,West Lothian,Bioenergy & Wastes,17.407
2006,West Lothian,Coal,2.793
2006,West Lothian,Electricity,1600.033
2006,West Lothian,Gas,1997.638
2006,West Lothian,Manufactured Fuels,7.667
2006,West Lothian,Petroleum Products,1694.983
2007,Aberdeen City,Bioenergy & Wastes,22.031
2007,Aberdeen City,Coal,22.784
2007,Aberdeen City,Electricity,2156.83
2007,Aberdeen City,Gas,2663.049
2007,Aberdeen City,Manufactured Fuels,13.588000000000001
2007,Aberdeen City,Petroleum Products,1648.416
2007,Aberdeenshire,Bioenergy & Wastes,51.354
2007,Aberdeenshire,Coal,46.491
2007,Aberdeenshire,Electricity,2108.566
2007,Aberdeenshire,Gas,1547.988
2007,Aberdeenshire,Manufactured Fuels,30.076999999999998
2007,Aberdeenshire,Petroleum Products,3797.651
2007,Angus,Bioenergy & Wastes,19.197
2007,Angus,Coal,10.771
2007,Angus,Electricity,953.207
2007,Angus,Gas,1021.463
2007,Angus,Manufactured Fuels,6.15
2007,Angus,Petroleum Products,1312.8120000000001
2007,Argyll and Bute,Bioenergy & Wastes,19.73
2007,Argyll and Bute,Coal,22.872
2007,Argyll and Bute,Electricity,783.397
2007,Argyll and Bute,Gas,543.563
2007,Argyll and Bute,Manufactured Fuels,7.7989999999999995
2007,Argyll and Bute,Petroleum Products,1232.134
2007,City of Edinburgh,Bioenergy & Wastes,35.437000000000005
2007,City of Edinburgh,Coal,10.519
2007,City of Edinburgh,Electricity,4554.715
2007,City of Edinburgh,Gas,5499.514
2007,City of Edinburgh,Manufactured Fuels,4.555
2007,City of Edinburgh,Petroleum Products,3330.858
2007,Clackmannanshire,Bioenergy & Wastes,5.702
2007,Clackmannanshire,Coal,1.595
2007,Clackmannanshire,Electricity,588.71
2007,Clackmannanshire,Gas,1221.441
2007,Clackmannanshire,Manufactured Fuels,4.25
2007,Clackmannanshire,Petroleum Products,339.833
2007,Dumfries and Galloway,Bioenergy & Wastes,74.801
2007,Dumfries and Galloway,Coal,37.959
2007,Dumfries and Galloway,Electricity,1550.127
2007,Dumfries and Galloway,Gas,1279.103
2007,Dumfries and Galloway,Manufactured Fuels,38.365
2007,Dumfries and Galloway,Petroleum Products,3126.7999999999997
2007,Dundee City,Bioenergy & Wastes,9.471
2007,Dundee City,Coal,0.212
2007,Dundee City,Electricity,1343.661
2007,Dundee City,Gas,1692.874
2007,Dundee City,Manufactured Fuels,0.873
2007,Dundee City,Petroleum Products,1058.437
2007,East Ayrshire,Bioenergy & Wastes,192.52599999999998
2007,East Ayrshire,Coal,26.861
2007,East Ayrshire,Electricity,789.653
2007,East Ayrshire,Gas,1408.0439999999999
2007,East Ayrshire,Manufactured Fuels,6.911
2007,East Ayrshire,Petroleum Products,1187.932
2007,East Dunbartonshire,Bioenergy & Wastes,7.999
2007,East Dunbartonshire,Coal,1.526
2007,East Dunbartonshire,Electricity,657.352
2007,East Dunbartonshire,Gas,1132.076
2007,East Dunbartonshire,Manufactured Fuels,2.37
2007,East Dunbartonshire,Petroleum Products,579.802
2007,East Lothian,Bioenergy & Wastes,415.96999999999997
2007,East Lothian,Coal,472.061
2007,East Lothian,Electricity,807.517
2007,East Lothian,Gas,864.539
2007,East Lothian,Manufactured Fuels,156.08800000000002
2007,East Lothian,Petroleum Products,974.714
2007,East Renfrewshire,Bioenergy & Wastes,9.965
2007,East Renfrewshire,Coal,1.0139999999999998
2007,East Renfrewshire,Electricity,357.832
2007,East Renfrewshire,Gas,918.956
2007,East Renfrewshire,Manufactured Fuels,2.399
2007,East Renfrewshire,Petroleum Products,666.897
2007,Falkirk,Bioenergy & Wastes,17.442999999999998
2007,Falkirk,Coal,3.6170000000000004
2007,Falkirk,Electricity,1284.8700000000001
2007,Falkirk,Gas,2017.7350000000001
2007,Falkirk,Manufactured Fuels,728.481
2007,Falkirk,Petroleum Products,16997.414
2007,Fife,Bioenergy & Wastes,44.889
2007,Fife,Coal,715.242
2007,Fife,Electricity,2817.0299999999997
2007,Fife,Gas,6653.1630000000005
2007,Fife,Manufactured Fuels,30.747999999999998
2007,Fife,Petroleum Products,7571.063
2007,Glasgow City,Bioenergy & Wastes,34.376999999999995
2007,Glasgow City,Coal,1.331
2007,Glasgow City,Electricity,5392.273
2007,Glasgow City,Gas,6438.007
2007,Glasgow City,Manufactured Fuels,3.995
2007,Glasgow City,Petroleum Products,3698.713
2007,Highland,Bioenergy & Wastes,142.093
2007,Highland,Coal,96.06
2007,Highland,Electricity,2824.614
2007,Highland,Gas,1247.271
2007,Highland,Manufactured Fuels,22.053
2007,Highland,Petroleum Products,3647.617
2007,Inverclyde,Bioenergy & Wastes,7.117000000000001
2007,Inverclyde,Coal,0.735
2007,Inverclyde,Electricity,596.2819999999999
2007,Inverclyde,Gas,807.471
2007,Inverclyde,Manufactured Fuels,1.85
2007,Inverclyde,Petroleum Products,517.041
2007,Midlothian,Bioenergy & Wastes,12.144
2007,Midlothian,Coal,9.161000000000001
2007,Midlothian,Electricity,492.426
2007,Midlothian,Gas,779.396
2007,Midlothian,Manufactured Fuels,3.602
2007,Midlothian,Petroleum Products,673.138
2007,Moray,Bioenergy & Wastes,16.701
2007,Moray,Coal,13.768
2007,Moray,Electricity,892.0790000000001
2007,Moray,Gas,1822.6190000000001
2007,Moray,Manufactured Fuels,6.931
2007,Moray,Petroleum Products,1028.339
2007,Na h-Eileanan Siar,Bioenergy & Wastes,7.527
2007,Na h-Eileanan Siar,Coal,10.954999999999998
2007,Na h-Eileanan Siar,Electricity,216.561
2007,Na h-Eileanan Siar,Gas,0.0
2007,Na h-Eileanan Siar,Manufactured Fuels,3.4
2007,Na h-Eileanan Siar,Petroleum Products,418.572
2007,North Ayrshire,Bioenergy & Wastes,178.33999999999997
2007,North Ayrshire,Coal,255.297
2007,North Ayrshire,Electricity,1383.818
2007,North Ayrshire,Gas,2935.458
2007,North Ayrshire,Manufactured Fuels,4.338
2007,North Ayrshire,Petroleum Products,895.443
2007,North Lanarkshire,Bioenergy & Wastes,89.622
2007,North Lanarkshire,Coal,4.333
2007,North Lanarkshire,Electricity,2677.621
2007,North Lanarkshire,Gas,3866.382
2007,North Lanarkshire,Manufactured Fuels,34.883
2007,North Lanarkshire,Petroleum Products,3114.8130000000006
2007,Orkney Islands,Bioenergy & Wastes,5.048
2007,Orkney Islands,Coal,9.772
2007,Orkney Islands,Electricity,213.713
2007,Orkney Islands,Gas,0.0
2007,Orkney Islands,Manufactured Fuels,2.707
2007,Orkney Islands,Petroleum Products,358.819
2007,Perth and Kinross,Bioenergy & Wastes,34.547999999999995
2007,Perth and Kinross,Coal,14.949
2007,Perth and Kinross,Electricity,1285.638
2007,Perth and Kinross,Gas,1171.7930000000001
2007,Perth and Kinross,Manufactured Fuels,9.37
2007,Perth and Kinross,Petroleum Products,2694.574
2007,Renfrewshire,Bioenergy & Wastes,14.389
2007,Renfrewshire,Coal,1.1689999999999998
2007,Renfrewshire,Electricity,1532.706
2007,Renfrewshire,Gas,1968.5049999999999
2007,Renfrewshire,Manufactured Fuels,1.921
2007,Renfrewshire,Petroleum Products,1423.056
2007,Scottish Borders,Bioenergy & Wastes,28.794
2007,Scottish Borders,Coal,31.679000000000002
2007,Scottish Borders,Electricity,958.8009999999999
