DateCode,FeatureName,Energy Consuming Sector,Value
2005,Renfrewshire,Industrial & Commercial,571.475
2005,Renfrewshire,Public Sector,2.034
2005,Renfrewshire,Rail,1.94
2005,Renfrewshire,Road Transport,1187.673
2005,Scottish Borders,Agriculture,283.19599999999997
2005,Scottish Borders,Commercial,339.961
2005,Scottish Borders,Domestic,1195.705
2005,Scottish Borders,Industrial,583.408
2005,Scottish Borders,Industrial & Commercial,331.281
2005,Scottish Borders,Public Sector,7.157
2005,Scottish Borders,Rail,30.566
2005,Scottish Borders,Road Transport,940.172
2005,Shetland Islands,Agriculture,66.694
2005,Shetland Islands,Commercial,48.759
2005,Shetland Islands,Domestic,200.69400000000002
2005,Shetland Islands,Industrial,153.34300000000002
2005,Shetland Islands,Industrial & Commercial,102.042
2005,Shetland Islands,Public Sector,14.786000000000001
2005,Shetland Islands,Rail,0.0
2005,Shetland Islands,Road Transport,147.59
2005,South Ayrshire,Agriculture,104.69399999999999
2005,South Ayrshire,Commercial,372.93899999999996
2005,South Ayrshire,Domestic,1250.164
2005,South Ayrshire,Industrial,654.1569999999999
2005,South Ayrshire,Industrial & Commercial,331.06
2005,South Ayrshire,Public Sector,3.342
2005,South Ayrshire,Rail,4.339
2005,South Ayrshire,Road Transport,797.333
2005,South Lanarkshire,Agriculture,125.137
2005,South Lanarkshire,Commercial,805.976
2005,South Lanarkshire,Domestic,3192.718
2005,South Lanarkshire,Industrial,1377.731
2005,South Lanarkshire,Industrial & Commercial,849.211
2005,South Lanarkshire,Public Sector,11.306000000000001
2005,South Lanarkshire,Rail,32.893
2005,South Lanarkshire,Road Transport,2368.59
2005,Stirling,Agriculture,64.66199999999999
2005,Stirling,Commercial,631.248
2005,Stirling,Domestic,934.3699999999999
2005,Stirling,Industrial,895.774
2005,Stirling,Industrial & Commercial,349.482
2005,Stirling,Public Sector,8.315
2005,Stirling,Rail,18.397
2005,Stirling,Road Transport,969.665
2005,West Dunbartonshire,Agriculture,7.851
2005,West Dunbartonshire,Commercial,259.916
2005,West Dunbartonshire,Domestic,868.7
2005,West Dunbartonshire,Industrial,371.015
2005,West Dunbartonshire,Industrial & Commercial,250.801
2005,West Dunbartonshire,Public Sector,1.059
2005,West Dunbartonshire,Rail,1.044
2005,West Dunbartonshire,Road Transport,529.4839999999999
2005,West Lothian,Agriculture,29.218999999999998
2005,West Lothian,Commercial,648.174
2005,West Lothian,Domestic,1688.018
2005,West Lothian,Industrial,975.322
2005,West Lothian,Industrial & Commercial,627.45
2005,West Lothian,Public Sector,3.5
2005,West Lothian,Rail,13.794
2005,West Lothian,Road Transport,1396.575
2006,Aberdeen City,Agriculture,11.108
2006,Aberdeen City,Commercial,858.155
2006,Aberdeen City,Domestic,2198.466
2006,Aberdeen City,Industrial,1485.9479999999999
2006,Aberdeen City,Industrial & Commercial,851.293
2006,Aberdeen City,Public Sector,58.599000000000004
2006,Aberdeen City,Rail,9.808
2006,Aberdeen City,Road Transport,1214.632
2006,Aberdeenshire,Agriculture,344.51300000000003
2006,Aberdeenshire,Commercial,493.577
2006,Aberdeenshire,Domestic,2692.7929999999997
2006,Aberdeenshire,Industrial,1107.336
2006,Aberdeenshire,Industrial & Commercial,698.602
2006,Aberdeenshire,Public Sector,18.166
2006,Aberdeenshire,Rail,39.885
2006,Aberdeenshire,Road Transport,2373.9139999999998
2006,Angus,Agriculture,81.536
2006,Angus,Commercial,288.166
2006,Angus,Domestic,1184.516
2006,Angus,Industrial,507.32599999999996
2006,Angus,Industrial & Commercial,324.14
2006,Angus,Public Sector,2.7560000000000002
2006,Angus,Rail,36.365
2006,Angus,Road Transport,900.951
2006,Argyll and Bute,Agriculture,113.271
2006,Argyll and Bute,Commercial,188.115
2006,Argyll and Bute,Domestic,930.1959999999999
2006,Argyll and Bute,Industrial,434.06899999999996
2006,Argyll and Bute,Industrial & Commercial,237.531
2006,Argyll and Bute,Public Sector,73.724
2006,Argyll and Bute,Rail,5.054
2006,Argyll and Bute,Road Transport,705.867
2006,City of Edinburgh,Agriculture,10.388
2006,City of Edinburgh,Commercial,1782.455
2006,City of Edinburgh,Domestic,4374.085
2006,City of Edinburgh,Industrial,2461.6079999999997
