FeatureName,DateCode,Value,Energy Type,Energy Consuming Sector
West Dunbartonshire,2018,38.893,Petroleum Products,Industrial
West Dunbartonshire,2018,0.107,Manufactured Fuels,Industrial
West Dunbartonshire,2019,203.829,Electricity,Industrial & Commercial
West Dunbartonshire,2018,0.0,Coal,Industrial
West Dunbartonshire,2018,0.009,Coal,Commercial
West Dunbartonshire,2018,121.085,Gas,Industrial
West Dunbartonshire,2018,82.149,Gas,Commercial
West Dunbartonshire,2015,0.228,Manufactured Fuels,Industrial
West Dunbartonshire,2015,0.901,Petroleum Products,Commercial
West Dunbartonshire,2015,140.258,Gas,Industrial
West Dunbartonshire,2016,0.0,Bioenergy & Wastes,Commercial
West Dunbartonshire,2015,37.101,Petroleum Products,Industrial
West Dunbartonshire,2015,0.011,Coal,Commercial
West Dunbartonshire,2015,0.0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2015,120.14,Gas,Commercial
West Dunbartonshire,2015,0.0,Coal,Industrial
West Dunbartonshire,2016,0.075,Manufactured Fuels,Industrial
West Dunbartonshire,2016,0.741,Petroleum Products,Commercial
West Dunbartonshire,2016,156.44,Gas,Industrial
West Dunbartonshire,2017,0.0,Bioenergy & Wastes,Commercial
West Dunbartonshire,2016,35.283,Petroleum Products,Industrial
West Dunbartonshire,2016,0.011,Coal,Commercial
West Dunbartonshire,2016,0.0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2016,72.094,Gas,Commercial
West Dunbartonshire,2016,0.0,Coal,Industrial
West Dunbartonshire,2019,0.082,Manufactured Fuels,Industrial
West Dunbartonshire,2019,0.52,Manufactured Fuels,Domestic
West Dunbartonshire,2019,0.745,Petroleum Products,Commercial
West Dunbartonshire,2019,8.045,Petroleum Products,Agriculture
West Dunbartonshire,2019,495.715,Gas,Domestic
West Dunbartonshire,2019,108.9,Gas,Commercial
West Dunbartonshire,2019,130.827,Gas,Industrial
West Dunbartonshire,2019,502.425,Petroleum Products,Road Transport
West Dunbartonshire,2019,32.471,Petroleum Products,Industrial
West Dunbartonshire,2019,7.573,Petroleum Products,Domestic
West Dunbartonshire,2019,0.979,Petroleum Products,Rail
West Dunbartonshire,2019,0.98,Petroleum Products,Public Sector
West Dunbartonshire,2013,0.0,Coal,Rail
West Dunbartonshire,2013,154.319,Electricity,Domestic
West Dunbartonshire,2013,0.166,Coal,Public Sector
West Dunbartonshire,2013,499.086,Gas,Domestic
West Dunbartonshire,2013,195.212,Electricity,Industrial & Commercial
West Dunbartonshire,2012,514.156,Petroleum Products,Road Transport
West Dunbartonshire,2013,1.281,Bioenergy & Wastes,Domestic
West Dunbartonshire,2012,1.05,Petroleum Products,Rail
West Dunbartonshire,2013,0.188,Coal,Domestic
West Dunbartonshire,2013,0.0,Coal,Agriculture
West Dunbartonshire,2013,508.496,Petroleum Products,Road Transport
West Dunbartonshire,2014,1.2,Bioenergy & Wastes,Domestic
West Dunbartonshire,2013,1.063,Petroleum Products,Rail
West Dunbartonshire,2014,0.16,Coal,Domestic
West Dunbartonshire,2014,0.0,Coal,Agriculture
West Dunbartonshire,2013,7.328,Petroleum Products,Agriculture
West Dunbartonshire,2013,0.348,Manufactured Fuels,Domestic
West Dunbartonshire,2013,0.784,Petroleum Products,Public Sector
West Dunbartonshire,2013,8.494,Petroleum Products,Domestic
West Dunbartonshire,2011,518.291,Petroleum Products,Road Transport
West Dunbartonshire,2012,1.096,Bioenergy & Wastes,Domestic
West Dunbartonshire,2011,1.007,Petroleum Products,Rail
West Dunbartonshire,2012,0.196,Coal,Domestic
West Dunbartonshire,2012,0.001,Coal,Agriculture
West Dunbartonshire,2011,7.202,Petroleum Products,Agriculture
West Dunbartonshire,2011,0.316,Manufactured Fuels,Domestic
West Dunbartonshire,2011,1.039,Petroleum Products,Public Sector
West Dunbartonshire,2011,8.289,Petroleum Products,Domestic
West Dunbartonshire,2012,0.382,Manufactured Fuels,Domestic
West Dunbartonshire,2012,7.417,Petroleum Products,Agriculture
West Dunbartonshire,2012,510.478,Gas,Domestic
West Dunbartonshire,2012,0.856,Petroleum Products,Public Sector
West Dunbartonshire,2012,8.294,Petroleum Products,Domestic
West Dunbartonshire,2012,0.0,Coal,Rail
West Dunbartonshire,2012,0.149,Coal,Public Sector
West Dunbartonshire,2012,183.307,Electricity,Industrial & Commercial
West Dunbartonshire,2012,156.284,Electricity,Domestic
West Dunbartonshire,2015,522.985,Petroleum Products,Road Transport
West Dunbartonshire,2016,1.63,Bioenergy & Wastes,Domestic
West Dunbartonshire,2015,1.025,Petroleum Products,Rail
West Dunbartonshire,2016,0.16,Coal,Domestic
West Dunbartonshire,2016,0.0,Coal,Agriculture
West Dunbartonshire,2015,0.419,Manufactured Fuels,Domestic
West Dunbartonshire,2015,7.698,Petroleum Products,Agriculture
West Dunbartonshire,2015,482.58,Gas,Domestic
West Dunbartonshire,2015,0.952,Petroleum Products,Public Sector
West Dunbartonshire,2015,7.743,Petroleum Products,Domestic
West Dunbartonshire,2016,0.406,Manufactured Fuels,Domestic
West Dunbartonshire,2016,8.135,Petroleum Products,Agriculture
West Dunbartonshire,2016,486.33,Gas,Domestic
West Dunbartonshire,2016,0.95,Petroleum Products,Public Sector
West Dunbartonshire,2016,7.809,Petroleum Products,Domestic
West Dunbartonshire,2016,0.0,Coal,Rail
West Dunbartonshire,2016,0.023,Coal,Public Sector
West Dunbartonshire,2016,193.898,Electricity,Industrial & Commercial
West Dunbartonshire,2016,145.863,Electricity,Domestic
West Dunbartonshire,2014,0.386,Manufactured Fuels,Domestic
West Dunbartonshire,2014,7.393,Petroleum Products,Agriculture
West Dunbartonshire,2014,489.764,Gas,Domestic
West Dunbartonshire,2014,0.815,Petroleum Products,Public Sector
West Dunbartonshire,2014,7.718,Petroleum Products,Domestic
West Dunbartonshire,2014,0.0,Coal,Rail
West Dunbartonshire,2014,0.171,Coal,Public Sector
West Dunbartonshire,2014,196.205,Electricity,Industrial & Commercial
West Dunbartonshire,2014,155.623,Electricity,Domestic
West Dunbartonshire,2015,0.022,Coal,Public Sector
West Dunbartonshire,2015,0.0,Coal,Rail
West Dunbartonshire,2015,0.162,Coal,Domestic
West Dunbartonshire,2015,202.885,Electricity,Industrial & Commercial
West Dunbartonshire,2015,154.46,Electricity,Domestic
West Dunbartonshire,2014,517.548,Petroleum Products,Road Transport
West Dunbartonshire,2014,1.082,Petroleum Products,Rail
West Dunbartonshire,2015,0.0,Coal,Agriculture
West Dunbartonshire,2015,1.452,Bioenergy & Wastes,Domestic
West Dunbartonshire,2010,0.309,Manufactured Fuels,Domestic
West Dunbartonshire,2010,7.103,Petroleum Products,Agriculture
West Dunbartonshire,2010,549.913,Gas,Domestic
West Dunbartonshire,2010,0.849,Petroleum Products,Public Sector
West Dunbartonshire,2010,10.201,Petroleum Products,Domestic
West Dunbartonshire,2010,0.169,Coal,Public Sector
West Dunbartonshire,2010,0.0,Coal,Rail
West Dunbartonshire,2010,0.207,Coal,Domestic
West Dunbartonshire,2010,235.515,Electricity,Industrial & Commercial
West Dunbartonshire,2010,168.91,Electricity,Domestic
West Dunbartonshire,2018,0.481,Manufactured Fuels,Domestic
West Dunbartonshire,2018,493.586,Gas,Domestic
West Dunbartonshire,2018,8.028,Petroleum Products,Agriculture
West Dunbartonshire,2018,135.511,Electricity,Domestic
West Dunbartonshire,2018,188.953,Electricity,Industrial & Commercial
West Dunbartonshire,2018,0.922,Petroleum Products,Rail
West Dunbartonshire,2018,509.492,Petroleum Products,Road Transport
West Dunbartonshire,2018,7.835,Petroleum Products,Domestic
West Dunbartonshire,2018,1.039,Petroleum Products,Public Sector
West Dunbartonshire,2009,0.165,Coal,Public Sector
West Dunbartonshire,2009,0.0,Coal,Rail
West Dunbartonshire,2009,0.199,Coal,Domestic
West Dunbartonshire,2009,238.254,Electricity,Industrial & Commercial
West Dunbartonshire,2009,171.311,Electricity,Domestic
West Dunbartonshire,2008,534.788,Petroleum Products,Road Transport
West Dunbartonshire,2008,1.079,Petroleum Products,Rail
West Dunbartonshire,2009,0.0,Coal,Agriculture
West Dunbartonshire,2009,0.745,Bioenergy & Wastes,Domestic
West Dunbartonshire,2009,1.067,Petroleum Products,Rail
West Dunbartonshire,2009,537.693,Petroleum Products,Road Transport
West Dunbartonshire,2009,0.913,Petroleum Products,Public Sector
West Dunbartonshire,2010,0.001,Coal,Agriculture
West Dunbartonshire,2010,1.012,Bioenergy & Wastes,Domestic
West Dunbartonshire,2009,0.301,Manufactured Fuels,Domestic
West Dunbartonshire,2009,563.081,Gas,Domestic
West Dunbartonshire,2009,9.166,Petroleum Products,Domestic
West Dunbartonshire,2009,7.048,Petroleum Products,Agriculture
West Dunbartonshire,2017,1.688,Bioenergy & Wastes,Domestic
West Dunbartonshire,2016,520.003,Petroleum Products,Road Transport
West Dunbartonshire,2017,0.0,Coal,Agriculture
West Dunbartonshire,2010,1.073,Petroleum Products,Rail
West Dunbartonshire,2016,0.993,Petroleum Products,Rail
West Dunbartonshire,2017,142.68,Electricity,Domestic
West Dunbartonshire,2017,0.0,Coal,Rail
West Dunbartonshire,2017,194.242,Electricity,Industrial & Commercial
West Dunbartonshire,2017,0.156,Coal,Domestic
West Dunbartonshire,2017,0.018,Coal,Public Sector
West Dunbartonshire,2011,0.0,Coal,Rail
West Dunbartonshire,2011,165.281,Electricity,Domestic
West Dunbartonshire,2011,0.17,Coal,Public Sector
West Dunbartonshire,2011,526.256,Gas,Domestic
West Dunbartonshire,2011,231.121,Electricity,Industrial & Commercial
West Dunbartonshire,2011,0.897,Bioenergy & Wastes,Domestic
West Dunbartonshire,2010,521.876,Petroleum Products,Road Transport
West Dunbartonshire,2011,0.205,Coal,Domestic
West Dunbartonshire,2011,0.001,Coal,Agriculture
West Dunbartonshire,2017,516.835,Petroleum Products,Road Transport
West Dunbartonshire,2017,0.978,Petroleum Products,Rail
West Dunbartonshire,2018,1.912,Bioenergy & Wastes,Domestic
West Dunbartonshire,2017,7.537,Petroleum Products,Domestic
West Dunbartonshire,2017,1.033,Petroleum Products,Public Sector
West Dunbartonshire,2018,0.02,Coal,Public Sector
West Dunbartonshire,2018,0.0,Coal,Rail
West Dunbartonshire,2018,0.0,Coal,Agriculture
West Dunbartonshire,2018,0.153,Coal,Domestic
West Dunbartonshire,2006,112.605,Electricity,Commercial
West Dunbartonshire,2005,149.321,Electricity,Industrial
West Dunbartonshire,2006,166.712,Electricity,Industrial
West Dunbartonshire,2017,497.33,Gas,Domestic
West Dunbartonshire,2005,101.48,Electricity,Commercial
West Dunbartonshire,2017,0.461,Manufactured Fuels,Domestic
West Dunbartonshire,2017,8.056,Petroleum Products,Agriculture
West Dunbartonshire,2007,109.961,Electricity,Commercial
West Dunbartonshire,2007,159.681,Electricity,Industrial
West Dunbartonshire,2020,32.799,Petroleum Products,Industrial
West Dunbartonshire,2020,0.733,Petroleum Products,Public Sector
West Dunbartonshire,2020,7.957,Petroleum Products,Domestic
West Dunbartonshire,2020,397.507,Petroleum Products,Road Transport
West Dunbartonshire,2020,0.789,Petroleum Products,Rail
West Dunbartonshire,2020,140.515,Electricity,Domestic
West Dunbartonshire,2020,96.844,Electricity,Industrial
West Dunbartonshire,2020,84.974,Electricity,Commercial
West Dunbartonshire,2020,181.817,Electricity,Industrial & Commercial
West Dunbartonshire,2020,0.0,Coal,Rail
West Dunbartonshire,2020,0.137,Manufactured Fuels,Industrial
West Dunbartonshire,2020,0.496,Manufactured Fuels,Domestic
West Dunbartonshire,2020,0.336,Petroleum Products,Commercial
West Dunbartonshire,2020,7.974,Petroleum Products,Agriculture
West Dunbartonshire,2020,507.186,Gas,Domestic
West Dunbartonshire,2020,114.596,Gas,Commercial
West Dunbartonshire,2020,140.149,Gas,Industrial
West Dunbartonshire,2019,101.533,Electricity,Commercial
West Dunbartonshire,2019,102.296,Electricity,Industrial
West Dunbartonshire,2018,107.738,Electricity,Industrial
West Dunbartonshire,2020,2.088,Bioenergy & Wastes,Domestic
West Dunbartonshire,2016,122.888,Electricity,Industrial
West Dunbartonshire,2017,71.136,Electricity,Commercial
West Dunbartonshire,2016,71.01,Electricity,Commercial
West Dunbartonshire,2018,81.215,Electricity,Commercial
West Dunbartonshire,2017,123.106,Electricity,Industrial
West Dunbartonshire,2020,0.009,Coal,Commercial
West Dunbartonshire,2020,0.137,Coal,Domestic
West Dunbartonshire,2020,0.0,Coal,Agriculture
West Dunbartonshire,2020,0.016,Coal,Public Sector
West Dunbartonshire,2020,0.0,Coal,Industrial
West Dunbartonshire,2020,22.655,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2020,0.0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2020,0.0,Bioenergy & Wastes,Commercial
West Dunbartonshire,2009,135.082,Electricity,Industrial
West Dunbartonshire,2010,100.838,Electricity,Commercial
West Dunbartonshire,2009,103.171,Electricity,Commercial
West Dunbartonshire,2011,99.426,Electricity,Commercial
West Dunbartonshire,2010,134.677,Electricity,Industrial
West Dunbartonshire,2008,138.285,Electricity,Industrial
West Dunbartonshire,2008,96.303,Electricity,Commercial
West Dunbartonshire,2014,87.495,Electricity,Commercial
West Dunbartonshire,2014,108.71,Electricity,Industrial
West Dunbartonshire,2013,107.671,Electricity,Industrial
West Dunbartonshire,2015,112.43,Electricity,Industrial
West Dunbartonshire,2015,90.455,Electricity,Commercial
West Dunbartonshire,2012,80.97,Electricity,Commercial
West Dunbartonshire,2011,131.695,Electricity,Industrial
West Dunbartonshire,2013,87.541,Electricity,Commercial
West Dunbartonshire,2012,102.337,Electricity,Industrial
West Dunbartonshire,2009,0.338,Petroleum Products,Commercial
West Dunbartonshire,2009,40.37,Petroleum Products,Industrial
West Dunbartonshire,2009,0.241,Manufactured Fuels,Industrial
West Dunbartonshire,2010,0.0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2010,0.0,Bioenergy & Wastes,Commercial
West Dunbartonshire,2009,0.0,Coal,Industrial
West Dunbartonshire,2009,0.058,Coal,Commercial
West Dunbartonshire,2009,128.937,Gas,Industrial
West Dunbartonshire,2009,121.656,Gas,Commercial
West Dunbartonshire,2010,0.381,Petroleum Products,Commercial
West Dunbartonshire,2010,41.05,Petroleum Products,Industrial
West Dunbartonshire,2010,0.281,Manufactured Fuels,Industrial
West Dunbartonshire,2011,0.0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2011,0.0,Bioenergy & Wastes,Commercial
West Dunbartonshire,2010,0.0,Coal,Industrial
West Dunbartonshire,2010,0.009,Coal,Commercial
West Dunbartonshire,2010,150.731,Gas,Industrial
West Dunbartonshire,2010,142.219,Gas,Commercial
West Dunbartonshire,2007,0.523,Petroleum Products,Commercial
West Dunbartonshire,2007,51.261,Petroleum Products,Industrial
West Dunbartonshire,2007,0.233,Manufactured Fuels,Industrial
West Dunbartonshire,2008,0.0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2008,0.0,Bioenergy & Wastes,Commercial
West Dunbartonshire,2007,0.0,Coal,Industrial
West Dunbartonshire,2007,0.008,Coal,Commercial
West Dunbartonshire,2007,156.487,Gas,Industrial
West Dunbartonshire,2007,147.65,Gas,Commercial
West Dunbartonshire,2008,0.488,Petroleum Products,Commercial
West Dunbartonshire,2008,45.554,Petroleum Products,Industrial
West Dunbartonshire,2008,0.335,Manufactured Fuels,Industrial
West Dunbartonshire,2009,0.0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2009,0.0,Bioenergy & Wastes,Commercial
West Dunbartonshire,2008,0.0,Coal,Industrial
West Dunbartonshire,2008,0.014,Coal,Commercial
West Dunbartonshire,2008,151.723,Gas,Industrial
West Dunbartonshire,2008,143.155,Gas,Commercial
West Dunbartonshire,2013,0.388,Manufactured Fuels,Industrial
West Dunbartonshire,2013,0.348,Petroleum Products,Commercial
West Dunbartonshire,2013,147.609,Gas,Industrial
West Dunbartonshire,2014,0.0,Bioenergy & Wastes,Commercial
West Dunbartonshire,2013,29.559,Petroleum Products,Industrial
West Dunbartonshire,2013,0.012,Coal,Commercial
West Dunbartonshire,2013,0.0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2013,146.202,Gas,Commercial
West Dunbartonshire,2013,0.0,Coal,Industrial
West Dunbartonshire,2014,0.463,Manufactured Fuels,Industrial
West Dunbartonshire,2014,0.386,Petroleum Products,Commercial
West Dunbartonshire,2014,140.506,Gas,Industrial
West Dunbartonshire,2015,0.0,Bioenergy & Wastes,Commercial
West Dunbartonshire,2014,33.049,Petroleum Products,Industrial
West Dunbartonshire,2014,0.011,Coal,Commercial
West Dunbartonshire,2014,0.0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2014,121.954,Gas,Commercial
West Dunbartonshire,2014,0.0,Coal,Industrial
West Dunbartonshire,2011,0.372,Petroleum Products,Commercial
West Dunbartonshire,2011,34.85,Petroleum Products,Industrial
West Dunbartonshire,2011,0.342,Manufactured Fuels,Industrial
West Dunbartonshire,2012,0.0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2012,0.0,Bioenergy & Wastes,Commercial
West Dunbartonshire,2011,0.0,Coal,Industrial
West Dunbartonshire,2011,0.014,Coal,Commercial
West Dunbartonshire,2011,161.566,Gas,Industrial
West Dunbartonshire,2011,133.532,Gas,Commercial
West Dunbartonshire,2012,0.305,Petroleum Products,Commercial
West Dunbartonshire,2012,0.405,Manufactured Fuels,Industrial
West Dunbartonshire,2013,0.0,Bioenergy & Wastes,Commercial
West Dunbartonshire,2012,35.725,Petroleum Products,Industrial
West Dunbartonshire,2012,0.0,Coal,Industrial
West Dunbartonshire,2012,0.011,Coal,Commercial
West Dunbartonshire,2012,152.504,Gas,Industrial
West Dunbartonshire,2012,149.924,Gas,Commercial
West Dunbartonshire,2019,0.0,Bioenergy & Wastes,Commercial
West Dunbartonshire,2019,0.0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2019,0.009,Coal,Commercial
West Dunbartonshire,2019,0.0,Coal,Agriculture
West Dunbartonshire,2018,18.78,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2019,24.081,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2019,2.057,Bioenergy & Wastes,Domestic
West Dunbartonshire,2019,0.0,Coal,Industrial
West Dunbartonshire,2019,0.144,Coal,Domestic
West Dunbartonshire,2019,0.0,Coal,Rail
West Dunbartonshire,2019,0.016,Coal,Public Sector
West Dunbartonshire,2006,2.435,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2007,4.686,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2005,0.954,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2009,14.387,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2008,11.269,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2015,14.376,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2014,17.744,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2017,14.019,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2016,14.279,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2011,15.766,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2010,16.831,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2013,15.874,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2012,13.953,Bioenergy & Wastes,Road Transport
West Dunbartonshire,2005,0.729,Petroleum Products,Commercial
West Dunbartonshire,2005,54.307,Petroleum Products,Industrial
West Dunbartonshire,2005,0.249,Manufactured Fuels,Industrial
West Dunbartonshire,2006,0.0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2006,0.0,Bioenergy & Wastes,Commercial
West Dunbartonshire,2005,0.0,Coal,Industrial
West Dunbartonshire,2005,0.007,Coal,Commercial
West Dunbartonshire,2005,167.138,Gas,Industrial
West Dunbartonshire,2005,157.7,Gas,Commercial
West Dunbartonshire,2006,0.557,Petroleum Products,Commercial
West Dunbartonshire,2006,51.008,Petroleum Products,Industrial
West Dunbartonshire,2006,0.23,Manufactured Fuels,Industrial
West Dunbartonshire,2007,0.0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2007,0.0,Bioenergy & Wastes,Commercial
West Dunbartonshire,2006,0.0,Coal,Industrial
West Dunbartonshire,2006,0.01,Coal,Commercial
West Dunbartonshire,2006,152.77,Gas,Industrial
West Dunbartonshire,2006,144.143,Gas,Commercial
West Dunbartonshire,2005,0.0,Bioenergy & Wastes,Commercial
West Dunbartonshire,2005,0.0,Bioenergy & Wastes,Industrial
West Dunbartonshire,2019,134.284,Electricity,Domestic
West Lothian,2007,1.707,Petroleum Products,Public Sector
West Lothian,2007,602.015,Electricity,Industrial & Commercial
West Lothian,2007,1453.488,Petroleum Products,Road Transport
West Lothian,2007,14.191,Petroleum Products,Rail
West Lothian,2007,32.902,Petroleum Products,Domestic
West Lothian,2007,26.417,Petroleum Products,Agriculture
West Lothian,2007,1298.443,Gas,Domestic
West Lothian,2007,4.684,Manufactured Fuels,Domestic
West Lothian,2018,55.013,Bioenergy & Wastes,Road Transport
West Lothian,2019,72.578,Bioenergy & Wastes,Road Transport
West Lothian,2019,17.035,Bioenergy & Wastes,Domestic
West Lothian,2006,6.91,Bioenergy & Wastes,Road Transport
West Lothian,2008,5.721,Bioenergy & Wastes,Domestic
West Lothian,2017,38.835,Bioenergy & Wastes,Road Transport
West Lothian,2005,2.429,Bioenergy & Wastes,Road Transport
West Lothian,2016,38.552,Bioenergy & Wastes,Road Transport
West Lothian,2007,8.391,Bioenergy & Wastes,Domestic
West Lothian,2014,47.135,Bioenergy & Wastes,Road Transport
West Lothian,2015,37.712,Bioenergy & Wastes,Road Transport
West Lothian,2007,0.754,Coal,Public Sector
West Lothian,2007,2.264,Coal,Domestic
West Lothian,2007,0.018,Coal,Agriculture
West Lothian,2007,0.0,Coal,Rail
West Lothian,2008,33.5,Bioenergy & Wastes,Road Transport
West Lothian,2009,41.5,Bioenergy & Wastes,Road Transport
West Lothian,2007,316.452,Electricity,Domestic
West Lothian,2007,13.607,Bioenergy & Wastes,Road Transport
West Lothian,2012,35.895,Bioenergy & Wastes,Road Transport
West Lothian,2013,41.73,Bioenergy & Wastes,Road Transport
West Lothian,2010,46.971,Bioenergy & Wastes,Road Transport
West Lothian,2011,42.656,Bioenergy & Wastes,Road Transport
West Lothian,2019,0.051,Coal,Commercial
West Lothian,2019,0.0,Coal,Agriculture
West Lothian,2019,0.416,Coal,Industrial
West Lothian,2019,1.735,Coal,Domestic
West Lothian,2019,0.0,Bioenergy & Wastes,Commercial
West Lothian,2019,0.0,Bioenergy & Wastes,Industrial
West Lothian,2019,0.0,Coal,Rail
West Lothian,2019,0.073,Coal,Public Sector
West Lothian,2006,2.693,Manufactured Fuels,Industrial
West Lothian,2006,3.456,Petroleum Products,Commercial
West Lothian,2006,356.581,Gas,Commercial
West Lothian,2006,377.923,Gas,Industrial
West Lothian,2007,0.0,Bioenergy & Wastes,Commercial
West Lothian,2007,0.0,Bioenergy & Wastes,Industrial
West Lothian,2006,175.253,Petroleum Products,Industrial
West Lothian,2005,186.819,Petroleum Products,Industrial
West Lothian,2006,0.0,Bioenergy & Wastes,Commercial
West Lothian,2005,1.829,Manufactured Fuels,Industrial
West Lothian,2005,4.512,Petroleum Products,Commercial
West Lothian,2006,0.066,Coal,Commercial
West Lothian,2006,0.074,Coal,Industrial
West Lothian,2006,0.0,Bioenergy & Wastes,Industrial
West Lothian,2008,0.084,Coal,Commercial
West Lothian,2008,0.011,Coal,Industrial
West Lothian,2008,0.0,Bioenergy & Wastes,Commercial
West Lothian,2008,0.0,Bioenergy & Wastes,Industrial
West Lothian,2008,370.64,Gas,Industrial
West Lothian,2008,8.48,Manufactured Fuels,Industrial
West Lothian,2008,349.71,Gas,Commercial
West Lothian,2007,353.967,Gas,Commercial
West Lothian,2007,375.152,Gas,Industrial
West Lothian,2007,0.048,Coal,Commercial
West Lothian,2007,0.087,Coal,Industrial
West Lothian,2007,3.248,Petroleum Products,Commercial
West Lothian,2007,175.465,Petroleum Products,Industrial
